v362_id;region;cadena_productiva;tipo_empresa;financiamiento;color_financiamiento
75;Los Ríos;Bienes creativos;Empresa;Fondos públicos;#9a7cbb
75;Los Ríos;Bienes creativos;Empresa;Instituciones bancarias;#737daa
82;Los Ríos;Bienes creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
82;Los Ríos;Bienes creativos;Empresa;Fondos públicos;#9a7cbb
82;Los Ríos;Bienes creativos;Empresa;Instituciones bancarias;#737daa
134;Los Lagos;Experiencias creativas;Empresa;Aportes de capital de los socios o dueños;#62cca5
4;Aysén;Bienes creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
51;Aysén;Bienes creativos;Empresa;Agro-Tech;#544c7c
51;Aysén;Bienes creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
51;Aysén;Bienes creativos;Empresa;Fondos públicos;#9a7cbb
51;Aysén;Bienes creativos;Empresa;Instituciones bancarias;#737daa
95;Aysén;Servicios creativos;Empresa;Fondos públicos;#9a7cbb
123;Aysén;Bienes creativos;Empresa;Fondos públicos;#9a7cbb
123;Aysén;Bienes creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
123;Aysén;Bienes creativos;Empresa;Instituciones bancarias;#737daa
10;Magallanes;Contenidos creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
10;Magallanes;Contenidos creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
59;Magallanes;Servicios creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
79;Magallanes;Bienes creativos;Empresa;Fondos públicos;#9a7cbb
79;Magallanes;Bienes creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
79;Magallanes;Bienes creativos;Empresa;Instituciones bancarias;#737daa
91;Magallanes;Bienes creativos;Empresa;Aportes de capital de los socios o dueños;#62cca5
91;Magallanes;Bienes creativos;Empresa;Fondos públicos;#9a7cbb
91;Magallanes;Bienes creativos;Empresa;Ingresos propios del flujo del negocio;#705abb
9;Extranjero;Servicios creativos;Profesional indep.;Asociaciones con otros negocios;#e4e2d4
31;Extranjero;Experiencias creativas;Profesional indep.;Aportes de capital de los socios o dueños;#62cca5
31;Extranjero;Experiencias creativas;Profesional indep.;Fondos públicos;#9a7cbb
57;Extranjero;Contenidos creativos;Profesional indep.;Asociaciones con otros negocios;#e4e2d4
