v362_id;region;cadena_productiva;tipo_empresa;tecnologias;nivel_adopcion;color_tecnologias
47;RM;Experiencias creativas;Empresa;software_especializado;EARLY ADOPTER;#96a5c3
47;RM;Experiencias creativas;Empresa;sonido_inmersivo;INNOVADOR;#070708
48;RM;Experiencias creativas;Empresa;software_especializado;EARLY ADOPTER;#96a5c3
48;RM;Experiencias creativas;Empresa;sonido_inmersivo;INNOVADOR;#070708
49;RM;Contenidos creativos;Empresa;creacion_de_entornos_virtuales;EARLY ADOPTER;#62cca5
49;RM;Contenidos creativos;Empresa;inteligencia_artificial_ia;EARLY ADOPTER;#9a7cbb
49;RM;Contenidos creativos;Empresa;realidad_virtual_vr;EARLY ADOPTER;#544c7c
49;RM;Contenidos creativos;Empresa;software_de_3d;EARLY ADOPTER;#b7b7af
49;RM;Contenidos creativos;Empresa;software_especializado;EARLY ADOPTER;#96a5c3
50;RM;Contenidos creativos;Empresa;creacion_de_entornos_virtuales;INNOVADOR;#62cca5
50;RM;Contenidos creativos;Empresa;impresion_3d;EARLY ADOPTER;#705abb
50;RM;Contenidos creativos;Empresa;inteligencia_artificial_ia;INNOVADOR;#9a7cbb
50;RM;Contenidos creativos;Empresa;Otros;EARLY ADOPTER;#a5a29a
50;RM;Contenidos creativos;Empresa;realidad_aumentada_ar;LENTO ADOPTANTE;#e4e2d4
50;RM;Contenidos creativos;Empresa;realidad_virtual_vr;EARLY ADOPTER;#544c7c
50;RM;Contenidos creativos;Empresa;software_de_3d;EARLY ADOPTER;#b7b7af
50;RM;Contenidos creativos;Empresa;software_especializado;INNOVADOR;#96a5c3
50;RM;Contenidos creativos;Empresa;sonido_inmersivo;EARLY ADOPTER;#070708
56;RM;Bienes creativos;Profesional indep.;software_especializado;LENTO ADOPTANTE;#96a5c3
58;RM;Contenidos creativos;Empresa;creacion_de_entornos_virtuales;INNOVADOR;#62cca5
58;RM;Contenidos creativos;Empresa;inteligencia_artificial_ia;INNOVADOR;#9a7cbb
58;RM;Contenidos creativos;Empresa;Otros;INNOVADOR;#a5a29a
58;RM;Contenidos creativos;Empresa;mocap_motion_capture;EARLY ADOPTER;#737daa
58;RM;Contenidos creativos;Empresa;realidad_aumentada_ar;EARLY ADOPTER;#e4e2d4
58;RM;Contenidos creativos;Empresa;realidad_virtual_vr;EARLY ADOPTER;#544c7c
62;RM;Contenidos creativos;Empresa;creacion_de_entornos_virtuales;EARLY ADOPTER;#62cca5
62;RM;Contenidos creativos;Empresa;mocap_motion_capture;EARLY ADOPTER;#737daa
62;RM;Contenidos creativos;Empresa;realidad_virtual_vr;INNOVADOR;#544c7c
62;RM;Contenidos creativos;Empresa;Otros;EARLY ADOPTER;#a5a29a
62;RM;Contenidos creativos;Empresa;software_de_3d;EARLY ADOPTER;#b7b7af
62;RM;Contenidos creativos;Empresa;software_especializado;EARLY ADOPTER;#96a5c3
62;RM;Contenidos creativos;Empresa;sonido_inmersivo;EARLY ADOPTER;#070708
62;RM;Contenidos creativos;Empresa;vfx_visual_effects;EARLY ADOPTER;#546c74
63;RM;Contenidos creativos;Empresa;creacion_de_entornos_virtuales;INNOVADOR;#62cca5
63;RM;Contenidos creativos;Empresa;inteligencia_artificial_ia;INNOVADOR;#9a7cbb
63;RM;Contenidos creativos;Empresa;realidad_aumentada_ar;INNOVADOR;#e4e2d4
63;RM;Contenidos creativos;Empresa;realidad_virtual_vr;INNOVADOR;#544c7c
63;RM;Contenidos creativos;Empresa;software_de_3d;INNOVADOR;#b7b7af
64;RM;Contenidos creativos;Empresa;creacion_de_entornos_virtuales;EARLY ADOPTER;#62cca5
64;RM;Contenidos creativos;Empresa;mocap_motion_capture;EARLY ADOPTER;#737daa
64;RM;Contenidos creativos;Empresa;realidad_virtual_vr;INNOVADOR;#544c7c
64;RM;Contenidos creativos;Empresa;software_de_3d;EARLY ADOPTER;#b7b7af
64;RM;Contenidos creativos;Empresa;sonido_inmersivo;INNOVADOR;#070708
64;RM;Contenidos creativos;Empresa;vfx_visual_effects;INNOVADOR;#546c74
65;RM;Experiencias creativas;Profesional indep.;realidad_virtual_vr;INNOVADOR;#544c7c
65;RM;Experiencias creativas;Profesional indep.;software_de_3d;INNOVADOR;#b7b7af
78;RM;Servicios creativos;Empresa;creacion_de_entornos_virtuales;EARLY ADOPTER;#62cca5
78;RM;Servicios creativos;Empresa;impresion_3d;EARLY ADOPTER;#705abb
78;RM;Servicios creativos;Empresa;inteligencia_artificial_ia;INNOVADOR;#9a7cbb
78;RM;Servicios creativos;Empresa;software_de_3d;EARLY ADOPTER;#b7b7af
78;RM;Servicios creativos;Empresa;software_especializado;EARLY ADOPTER;#96a5c3
78;RM;Servicios creativos;Empresa;vfx_visual_effects;EARLY ADOPTER;#546c74
80;RM;Contenidos creativos;Profesional indep.;creacion_de_entornos_virtuales;EARLY ADOPTER;#62cca5
80;RM;Contenidos creativos;Profesional indep.;inteligencia_artificial_ia;INNOVADOR;#9a7cbb
80;RM;Contenidos creativos;Profesional indep.;realidad_virtual_vr;EARLY ADOPTER;#544c7c
80;RM;Contenidos creativos;Profesional indep.;software_de_3d;LENTO ADOPTANTE;#b7b7af
83;RM;Bienes creativos;Profesional indep.;impresion_3d;INNOVADOR;#705abb
83;RM;Bienes creativos;Profesional indep.;inteligencia_artificial_ia;EARLY ADOPTER;#9a7cbb
83;RM;Bienes creativos;Profesional indep.;software_de_3d;INNOVADOR;#b7b7af
85;RM;Bienes creativos;Empresa;creacion_de_entornos_virtuales;INNOVADOR;#62cca5
85;RM;Bienes creativos;Empresa;realidad_virtual_vr;EARLY ADOPTER;#544c7c
85;RM;Bienes creativos;Empresa;software_de_3d;EARLY ADOPTER;#b7b7af
85;RM;Bienes creativos;Empresa;software_especializado;INNOVADOR;#96a5c3
85;RM;Bienes creativos;Empresa;sonido_inmersivo;EARLY ADOPTER;#070708
86;RM;Servicios creativos;Empresa;creacion_de_entornos_virtuales;EARLY ADOPTER;#62cca5
86;RM;Servicios creativos;Empresa;inteligencia_artificial_ia;LENTO ADOPTANTE;#9a7cbb
86;RM;Servicios creativos;Empresa;Otros;EARLY ADOPTER;#a5a29a
86;RM;Servicios creativos;Empresa;realidad_aumentada_ar;EARLY ADOPTER;#e4e2d4
86;RM;Servicios creativos;Empresa;realidad_virtual_vr;EARLY ADOPTER;#544c7c
86;RM;Servicios creativos;Empresa;Otros;LENTO ADOPTANTE;#a5a29a
86;RM;Servicios creativos;Empresa;software_de_3d;EARLY ADOPTER;#b7b7af
86;RM;Servicios creativos;Empresa;software_especializado;EARLY ADOPTER;#96a5c3
86;RM;Servicios creativos;Empresa;sonido_inmersivo;EARLY ADOPTER;#070708
